"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre"
"98",14,1,"Vic Reeves Big Night Out",1990,1991,25,7.5,564,"comedy"
"99",59,1,"Vrienden voor het leven",1990,1995,30,6.7,149,"comedy"
"100",16,1,"WIOU",1990,1991,60,7.5,25,"drama"
"101",47,1,"Waiting for God",1990,1994,30,7.8,1301,"comedy"
"102",24,1,"What a Dummy",1990,1991,30,5,31,"comedy"
"103",13,1,"The Wizard of Oz",1990,1991,30,6.7,111,"action"
"104",12,0,"Working Girl",1990,0,30,6.9,102,"comedy"
"105",13,0,"Working It Out",1990,0,30,8.1,8,"comedy"
"106",13,0,"Yellowthread Street",1990,0,52,8.3,44,"action"
"107",89,1,"Zorro",1990,1993,30,6.9,1188,"adventure"
"108",12,1,"Dark Shadows",1991,1991,45,7.6,1522,"drama"
"109",13,0,"Rôdosu-tô senki",1990,0,25,7.8,1985,"action"
"110",8,0,"Miller & Mueller",1991,0,45,5.7,30,"action"
"111",26,1,"Runaway Bay",1992,1993,26,8.3,35,"adventure"
"112",56,1,"2point4 Children",1991,1999,40,7,645,"comedy"
"113",13,1,"The Adventures of Mark & Brian",1991,1992,30,5.8,25,"comedy"
"114",39,0,"The Adventures of Skippy",1992,0,65,6.5,68,"adventure"
"115",52,1,"African Skies",1992,1994,30,6.9,28,"adventure"
"116",9,0,"The Antagonists",1991,0,60,5.9,18,"drama"
"117",35,1,"Baby Talk",1991,1992,30,4,134,"comedy"
"118",26,1,"Back to the Future",1991,1993,23,6.5,1177,"adventure"
"119",44,1,"Beyond Reality",1991,1993,30,7.8,93,"drama"
"120",13,1,"Bony",1992,1992,60,7.8,12,"crime"
"121",20,1,"Boys from the Bush",1991,1992,50,8.1,35,"comedy"
"122",52,1,"The Brittas Empire",1991,1997,30,7.2,2038,"comedy"
"123",33,1,"Brooklyn Bridge",1991,1993,30,8.5,285,"drama"
"124",13,1,"Cadillacs and Dinosaurs",1993,1994,30,7.2,280,"adventure"
"125",7,0,"Charlie Hoover",1991,0,30,6.2,22,"comedy"
"126",35,1,"The Chief",1990,1995,50,6.9,66,"drama"
"127",51,1,"Chojin sentai Jettoman",1991,1992,25,8.6,122,"action"
"128",36,1,"Civil Wars",1991,1993,60,7.1,91,"drama"
"129",65,1,"Clarissa Explains It All",1991,1994,30,7.2,6799,"comedy"
"130",25,1,"Cluedo",1990,1993,45,6.9,78,"drama"
"131",92,1,"The Commish",1991,1996,60,7.2,1460,"comedy"
"132",14,0,"Dangerous Women",1991,0,60,8.1,87,"comedy"
"133",65,1,"Dark Justice",1991,1993,60,7.3,270,"crime"
"134",91,1,"Darkwing Duck",1991,1992,30,7.6,12048,"action"
"135",29,1,"Davis Rules",1991,1992,30,7.6,104,"comedy"
"136",65,1,"Dinosaurs",1991,1994,30,7.5,14005,"comedy"
"137",7,1,"The 100 Lives of Black Jack Savage",1991,1991,60,8,64,"adventure"
"138",7,0,"Doctor at the Top",1991,0,30,6.7,35,"comedy"
"139",52,1,"Doug",1991,1994,30,7.5,15291,"animation"
"140",18,1,"Drexell's Class",1991,1992,30,7.6,135,"comedy"
"141",7,0,"Eddie Dodd",1991,0,60,5.9,13,"drama"
"142",19,1,"Eerie, Indiana",1991,1992,30,8.2,4219,"adventure"
"143",14,0,"Fiddlers Three",1991,0,30,6.6,12,"comedy"
"144",65,0,"Hillside",1990,0,25,7.3,290,"drama"
"145",13,0,"Fly by Night",1991,0,52,7.2,28,"adventure"
"146",15,0,"Good Sports",1991,0,30,5.9,42,"comedy"
"147",21,0,"Der Hausgeist",1991,0,25,5.6,18,"comedy"
"148",72,1,"Herman's Head",1991,1994,30,7.2,1485,"comedy"
"149",14,1,"Hi Honey, I'm Home",1991,1992,30,7.4,124,"comedy"
"150",33,1,"The Hidden Room",1991,1993,30,5.3,47,"drama"
"151",42,1,"Homefront",1991,1993,60,8.9,950,"drama"
"152",13,1,"Hope It Rains",1991,1992,30,7.9,21,"comedy"
"153",34,1,"The House of Eliott",1991,1994,50,8.1,917,"drama"
"154",38,1,"I'll Fly Away",1991,1993,60,8.5,659,"drama"
"155",26,1,"Kelly",1991,1992,30,7.7,19,"action"
"156",26,1,"Land of the Lost",1991,1992,23,7.2,707,"adventure"
"157",24,1,"Lightning Force",1991,1992,30,7.1,24,"action"
"158",24,1,"Liquid Television",1991,1994,30,8,601,"animation"
"159",7,0,"The Man in the Family",1991,0,30,6.8,5,"comedy"
"160",10,0,"Man of the People",1991,0,30,6.5,22,"comedy"
"161",40,1,"Medics",1990,1995,50,7,23,"drama"
"162",42,1,"Men Behaving Badly",1992,2014,45,7.7,5987,"comedy"
"163",20,1,"The Miraculous Mellops",1991,1992,25,8.4,51,"sci-fi"
"164",7,0,"My Life and Times",1991,0,30,7.9,35,"drama"
"165",46,1,"The New WKRP in Cincinnati",1991,1993,30,5,173,"comedy"
"166",45,1,"Noel's House Party",1991,1999,50,6.3,190,"comedy"
"167",34,1,"Northwood",1991,1994,24,7.8,48,"drama"
"168",68,1,"Nurses",1991,1994,30,6.8,246,"comedy"
"169",7,0,"Old Boy Network",1992,0,25,6.7,7,"comedy"
"170",13,0,"P.S.I. Luv U",1991,0,60,7.7,144,"drama"
"171",13,0,"Pacific Station",1991,0,30,7.6,11,"comedy"
"172",8,0,"Palace Guard",1991,0,60,6.5,25,"action"
"173",12,1,"Paul Merton: The Series",1991,1993,25,8.1,86,"comedy"
"174",21,1,"The Pirates of Dark Water",1991,1992,30,8.4,1885,"action"
"175",65,1,"The Legend of Prince Valiant",1991,1994,22,7.5,494,"adventure"
"176",8,0,"Princesses",1991,0,30,7.1,15,"comedy"
"177",13,1,"Pros and Cons",1991,1992,60,6.8,24,"action"
"178",44,1,"Reasonable Doubts",1991,1993,60,7.8,310,"crime"
"179",52,1,"The Ren & Stimpy Show",1991,1996,30,7.5,18266,"animation"
"180",72,1,"Roc",1991,1994,30,7.4,908,"comedy"
"181",15,1,"The Royal Family",1991,1992,30,7,163,"comedy"
"182",26,1,"Salute Your Shorts",1991,1993,30,8.3,4547,"comedy"
"183",23,0,"Scene of the Crime",1991,0,60,7.5,30,"drama"
"184",51,1,"Schmidteinander",1990,1994,60,8.2,133,"comedy"
"185",49,1,"Second Thoughts",1991,1994,30,7.3,64,"comedy"
"186",22,1,"Sibs",1991,1992,30,6.7,29,"comedy"
"187",7,0,"Sons and Daughters",1991,0,60,7.4,20,"comedy"
"188",44,1,"Street Justice",1991,1993,44,7.4,136,"action"
"189",24,1,"Sunes jul",1991,1991,25,8,1349,"comedy"
"190",65,0,"Swans Crossing",1992,0,30,7.2,260,"drama"
"191",75,1,"Tarzán",1991,1995,30,6.2,301,"adventure"
"192",13,0,"Teech",1991,0,30,6.1,13,"comedy"
"193",7,1,"Top of the Heap",1991,1991,30,5.1,129,"comedy"
"194",20,1,"The Torkelsons",1991,1992,30,8,797,"comedy"
"195",23,1,"Trainer",1991,1992,50,7.4,12,"drama"
"196",66,1,"Sweating Bullets",1991,1993,60,8,1347,"action"
"197",9,0,"Under Cover",1991,0,60,8.3,23,"drama"
"198",16,1,"Urban Angel",1991,1993,60,8,39,"adventure"
"199",13,0,"Walter & Emily",1991,0,30,6.8,12,"comedy"
"200",15,1,"Welcome Freshmen",1991,1993,30,7.4,184,"comedy"
"201",13,0,"Wish Kid",1991,0,30,6.6,98,"animation"
"202",19,1,"Yo Yogi!",1991,1992,30,5.6,97,"animation"
"203",52,0,"American Justice",1992,0,60,8.3,518,"crime"
"204",8,0,"Angel Street",1992,0,60,5.7,15,"crime"
"205",91,1,"Are You Afraid of the Dark?",1990,2000,30,8.3,11160,"drama"
"206",85,1,"Batman: The Animated Series",1992,1995,23,8.9,67873,"action"
"207",26,0,"Berlin Break",1993,0,45,6.5,15,"action"
"208",35,1,"Between the Lines",1992,1994,50,8.2,354,"crime"
"209",7,0,"The Big One",1992,0,30,8.1,16,"comedy"
"210",8,0,"Bill & Ted's Excellent Adventures",1992,0,30,6.2,125,"comedy"
"211",13,0,"Billy",1992,0,30,6.1,43,"comedy"
"212",23,0,"Bingles",1992,0,30,5.4,8,"comedy"
"213",13,1,"Bligh",1992,1992,25,6,22,"comedy"
"214",33,1,"Bob",1992,1993,30,7.5,169,"comedy"
"215",81,1,"Bobby's World",1990,1998,30,7.4,3371,"animation"
"216",16,1,"Bodies of Evidence",1992,1993,60,6.1,87,"crime"
"217",18,1,"Bottom",1991,1995,30,8.2,10296,"comedy"
"218",78,1,"California Dreams",1992,1997,30,7.1,1256,"comedy"
"219",19,1,"Camp Wilder",1992,1993,30,7,73,"comedy"
"220",13,1,"Capitol Critters",1992,1995,30,6.9,136,"animation"
"221",11,1,"Catwalk",1992,1994,50,6.9,159,"drama"
"222",21,1,"Cluedo",1992,1993,50,8.2,29,"drama"
"223",13,0,"Covington Cross",1992,0,60,7.8,228,"adventure"
"224",10,1,"Crossroads",1992,1993,60,6.3,27,"drama"
"225",14,1,"DAAS Kapital",1991,1992,30,8.1,65,"comedy"
"226",34,0,"Dangerous Curves",1992,0,60,6.4,57,"action"
"227",17,0,"Delta",1992,0,30,7.5,25,"comedy"
"228",29,1,"Down the Shore",1992,1993,30,7.4,45,"comedy"
"229",19,1,"The Edge",1992,1993,30,7.7,204,"comedy"
"230",76,1,"Eek! the Cat",1992,1997,30,7.3,2386,"adventure"
"231",22,1,"Flying Blind",1992,1993,30,8.1,261,"comedy"
"232",70,1,"Forever Knight",1992,1996,60,7.8,2048,"crime"
"233",15,1,"Get Back",1992,1993,30,7.1,40,"comedy"
"234",17,1,"Going to Extremes",1992,1993,60,8.4,64,"drama"
"235",24,1,"The Golden Palace",1992,1993,30,7.2,782,"comedy"
"236",78,1,"Goof Troop",1992,1993,30,6.9,6365,"animation"
"237",12,1,"Grace & Favour",1992,1993,26,7.9,965,"comedy"
"238",13,0,"Great Scott!",1992,0,30,7.5,36,"comedy"
"239",13,1,"The Hat Squad",1992,1993,60,7.4,108,"crime"
"240",54,1,"Hearts Afire",1992,1995,30,7.1,261,"comedy"
"241",9,0,"Hearts Are Wild",1992,0,60,7.7,7,"drama"
"242",13,0,"The Heights",1992,0,60,7.1,164,"drama"
"243",13,1,"Here and Now",1992,1993,30,7.6,26,"comedy"
"244",8,0,"Human Target",1992,0,60,7,109,"action"
"245",18,0,"Jack's Place",1992,0,60,6.8,32,"drama"
"246",18,0,"The Jackie Thomas Show",1992,0,30,4.9,121,"comedy"
"247",7,0,"Julie",1992,0,30,7.8,41,"comedy"
"248",26,0,"Klasses julkalender",1992,0,30,6.7,50,"family"
"249",87,1,"Kung Fu: The Legend Continues",1993,1997,60,6.7,1837,"action"
"250",89,1,"The Larry Sanders Show",1992,1998,30,8.4,6619,"comedy"
"251",13,0,"Late for School",1992,0,30,8,7,"comedy"
"252",40,1,"The Late Show",1992,1993,60,8.3,389,"comedy"
"253",10,0,"Laurie Hill",1992,0,30,6.6,10,"comedy"
"254",78,1,"Lift Off",1992,1995,66,7.7,82,"comedy"
"255",13,0,"Likely Suspects",1992,0,30,7.9,11,"drama"
"256",31,1,"The Little Mermaid",1992,1994,25,6.8,2778,"adventure"
"257",7,1,"Lotta på Bråkmakargatan",1995,1996,28,6.2,177,"family"
"258",67,1,"Love & War",1992,1995,30,7,123,"comedy"
"259",9,0,"Mann & Machine",1992,0,60,8.5,253,"action"
"260",13,1,"Mulberry",1992,1993,30,8.3,316,"comedy"
"261",26,0,"The New Adventures of Black Beauty",1992,0,24,7.5,30,"adventure"
"262",39,1,"The Odyssey",1992,1994,30,8.4,589,"adventure"
"263",7,0,"On the Air",1992,0,30,7.4,778,"comedy"
"264",19,0,"Out All Night",1992,0,30,8,114,"comedy"
"265",14,0,"Peter und Paul",1992,0,50,7,9,"comedy"
"266",26,1,"Phoenix",1992,1993,50,8.7,113,"crime"
"267",21,1,"The Powers That Be",1992,1993,30,8.2,292,"comedy"
"268",13,0,"Rachel Gunn, R.N.",1992,0,30,7.1,16,"comedy"
"269",20,1,"Raven",1992,1993,46,7.4,282,"action"
"270",65,0,"The Real West",1992,0,50,8.1,72,"documentary"
"271",66,1,"Red Shoe Diaries",1992,1999,30,5.7,729,"drama"
"272",13,0,"Rhythm & Blues",1992,0,30,7.5,15,"comedy"
"273",26,0,"Room for Two",1992,0,30,7.7,27,"comedy"
"274",7,0,"The Round Table",1992,0,60,6.1,28,"drama"
"275",52,1,"Roundhouse",1992,1995,30,7.2,364,"comedy"
"276",14,1,"Sean's Show",1992,1993,30,8.1,94,"comedy"
"277",21,1,"Secret Service",1992,1993,60,6.2,10,"action"
"278",17,1,"Shaky Ground",1992,1993,30,7,28,"comedy"
"279",13,0,"Shelley Duvall's Bedtime Stories",1992,0,30,7.5,100,"animation"
"280",13,1,"Sitting Pretty",1992,1993,30,7.8,14,"comedy"
"281",19,1,"So Haunt Me",1992,1994,30,7,69,"comedy"
"282",7,0,"Stand by Your Man",1992,0,30,6.4,33,"comedy"
"283",40,1,"Street Sharks",1994,1996,22,6.4,1785,"adventure"
"284",65,1,"Taz-Mania",1991,1993,30,6.8,7641,"animation"
"285",12,0,"Tequila and Bonetti",1992,0,60,6.3,267,"action"
"286",26,1,"The Tomorrow People",1992,1995,25,7.4,296,"sci-fi"
"287",15,0,"True Crimes",1991,0,30,7.1,8,"crime"
"288",7,0,"Vinnie & Bobby",1992,0,30,5,67,"comedy"
"289",11,0,"Woops!",1992,0,30,6.9,99,"comedy"
"290",76,1,"X-Men",1992,1997,23,8.5,30908,"action"
"291",28,1,"The Young Indiana Jones Chronicles",1992,1993,45,7.3,6289,"action"
"292",21,1,"Les intrépides",1993,1996,26,8.1,212,"adventure"
"293",71,0,"Tenchi Muyô!",1992,0,30,7.8,1709,"adventure"
"294",13,0,"Truckers",1992,0,11,7.7,160,"adventure"
"295",39,1,"Absolutely Fabulous",1992,2012,45,8.2,15915,"comedy"
"296",22,1,"Acapulco H.E.A.T.",1993,1994,60,6,565,"action"
"297",65,1,"Adelheid und ihre Mörder",1993,2007,50,7.1,130,"comedy"
"298",27,1,"The Adventures of Brisco County Jr.",1993,1994,45,8.4,6898,"action"
"299",39,1,"The Adventures of Pete & Pete",1992,1996,30,8.3,8374,"comedy"
"300",8,1,"Against the Grain",1993,1994,60,6.3,38,"drama"
"301",86,1,"Aladdin",1994,1995,30,7.2,6257,"adventure"
"302",13,0,"Alaska Kid",1993,0,50,7.4,54,"adventure"
"303",13,1,"Almost Home",1993,1993,30,7.7,294,"comedy"
"304",99,1,"Animaniacs",1993,1998,21,7.9,18298,"animation"
"305",67,1,"As Time Goes By",1992,2005,60,8.2,3167,"comedy"
"306",17,0,"Bakersfield P.D.",1993,0,30,8.3,237,"comedy"
"307",11,0,"Blanche",1993,0,60,7.4,127,"drama"
"308",11,1,"Brighton Belles",1993,1994,30,4.6,19,"comedy"
"309",18,1,"Cafe Americain",1993,1994,30,8.1,71,"comedy"
"310",15,0,"The Chevy Chase Show",1993,0,60,2.9,174,"comedy"
"311",17,0,"Class of '96",1993,0,60,7.3,138,"drama"
"312",22,1,"Cobra",1993,1994,60,6.6,405,"action"
"313",13,1,"Daddy Dearest",1993,1993,30,7.7,39,"comedy"
"314",7,0,"Danger Theatre",1993,0,30,8.1,100,"comedy"
"315",98,1,"Dave's World",1993,1997,30,6.6,567,"comedy"
"316",13,1,"Droopy: Master Detective",1993,1994,30,6.4,516,"animation"
"317",15,1,"Fallen Angels",1993,1995,30,6.4,345,"crime"
"318",10,0,"Family Dog",1993,0,30,6.9,388,"animation"
"319",62,1,"Flodder",1993,1998,30,6.8,1207,"comedy"
"320",9,1,"George",1993,1994,30,4.4,21,"comedy"
"321",31,1,"Getting By",1993,1994,30,7.2,35,"comedy"
"322",19,1,"Good Advice",1993,1994,30,6.2,20,"comedy"
"323",59,1,"Goodnight Sweetheart",1993,2016,30,7.6,1861,"comedy"
"324",15,1,"Harts of the West",1993,1994,60,7.2,85,"comedy"
"325",12,1,"Health and Efficiency",1993,1995,30,6.1,9,"comedy"
"326",15,0,"Hello Kitty and Friends",1991,0,30,6.4,129,"animation"
"327",13,1,"Home Free",1993,1993,30,7.6,21,"comedy"
"328",11,1,"Joe's Life",1993,1993,30,5.9,13,"comedy"
"329",84,1,"The John Larroquette Show",1993,1996,30,7.3,745,"comedy"
"330",8,0,"Johnny Bago",1993,0,60,7.8,87,"comedy"
"331",13,1,"Joking Apart",1991,1995,30,8.2,136,"comedy"
"332",7,0,"Just a Gigolo",1993,0,30,8,26,"comedy"
"333",13,0,"Key West",1993,0,60,8.1,261,"comedy"
"334",13,1,"Der kleine Vampir - Neue Abenteuer",1993,1994,28,7.2,79,"adventure"
"335",37,1,"Law of the Land",1993,1994,50,7.1,27,"crime"
"336",87,1,"Lois & Clark: The New Adventures of Superman",1993,1997,46,6.8,17843,"adventure"
"337",18,1,"Luv",1993,1994,30,7.9,9,"comedy"
"338",13,0,"Matrix",1993,0,60,8.3,109,"action"
"339",40,1,"Metsolat",1993,1995,50,7.9,217,"drama"
"340",16,0,"Mirakuru gâruzu",1993,0,24,7.6,36,"animation"
"341",37,1,"The Mommies",1993,1995,30,6.2,87,"comedy"
"342",13,1,"Moon Over Miami",1993,1993,60,7.6,157,"crime"
"343",52,1,"Newlyweds",1993,1994,25,6.1,29,"comedy"
"344",7,0,"Newman and Baddiel in Pieces",1993,0,30,8.1,60,"comedy"
"345",39,1,"Nicht von schlechten Eltern",1993,1998,45,8,82,"comedy"
"346",90,1,"North of 60",1992,1998,60,8.4,382,"crime"
"347",59,1,"La petite vie",1993,1999,23,8.5,869,"comedy"
"348",22,1,"Phenom",1993,1994,30,6.7,124,"comedy"
"349",40,1,"Pie in the Sky",1994,1997,50,7.6,798,"comedy"
"350",26,1,"Problem Child",1993,1994,30,4.4,137,"animation"
"351",65,1,"Ready or Not",1993,1997,23,7,2180,"drama"
"352",9,1,"Ricki Lake",1992,2004,60,4.1,522,"talk-show"
"353",52,1,"Rocko's Modern Life",1993,1996,30,8,16348,"animation"
"354",19,1,"Saved by the Bell: The College Years",1993,1994,30,6.3,3575,"comedy"
"355",57,1,"Seaquest DSV",1993,1996,60,6.7,5380,"action"
"356",10,1,"Second Chances",1993,1994,60,7,67,"crime"
"357",15,1,"The Second Half",1993,1994,30,6.9,13,"comedy"
"358",13,0,"Secrets",1993,0,50,6.5,10,"drama"
"359",24,1,"The Sinbad Show",1993,1994,30,6.2,343,"comedy"
"360",35,1,"Sirens",1993,1995,60,7.5,96,"drama"
"361",12,1,"The Smell of Reeves and Mortimer",1993,1995,30,7.8,713,"comedy"
"362",65,1,"Snowy River: The McGregor Saga",1993,1996,60,7.3,485,"drama"
"363",13,0,"Snowy",1993,0,50,4.1,15,"drama"
"364",82,1,"Soldier Soldier",1991,1997,50,6.6,528,"drama"
"365",26,1,"Sonic the Hedgehog",1993,1994,30,6.9,3981,"action"
"366",7,0,"South Beach",1993,0,60,8.2,84,"crime"
"367",7,0,"South of Sunset",1993,0,60,8.1,58,"drama"
"368",19,1,"Thea",1993,1994,30,7.2,167,"comedy"
"369",43,1,"Time Trax",1993,1994,60,7.1,1033,"action"
"370",24,0,"Tomtemaskinen",1993,0,15,7.5,120,"family"
"371",10,0,"Townsend Television",1993,0,60,7.9,10,"comedy"
"372",7,0,"Tribeca",1993,0,60,6.8,50,"drama"
"373",7,1,"The Trouble with Larry",1993,1993,30,6,41,"comedy"
"374",42,1,"The Untouchables",1993,1994,60,7.9,329,"action"
"375",66,1,"Vrouwenvleugel",1993,1995,50,6.7,101,"crime"
"376",21,0,"Where I Live",1993,0,30,8.1,67,"comedy"
"377",91,0,"Beakman's World",1992,0,30,8.5,2008,"comedy"
"378",52,1,"Exosquad",1993,1995,30,8.6,849,"adventure"
"379",12,1,"Maigret",1992,1993,60,7.7,502,"crime"
"380",11,1,"The Uptown Comedy Club",1992,1994,60,7.6,34,"comedy"
"381",15,1,"The 10 Percenters",1993,1996,30,6.2,11,"comedy"
"382",56,1,"Aaahh!!! Real Monsters",1994,1997,30,7.3,8305,"animation"
"383",59,0,"The Adventures of Dudley the Dragon",1994,0,30,7.6,82,"family"
"384",12,1,"Ain't Misbehavin",1994,1995,30,6.8,8,"comedy"
"385",12,1,"The All New Alexei Sayle Show",1994,1995,30,7.9,49,"comedy"
"386",19,0,"All Quiet on the Preston Front",1994,0,40,8.1,97,"comedy"
"387",19,1,"All-American Girl",1994,1995,30,6.7,336,"comedy"
"388",52,0,"Os Andrades",1994,0,30,7.5,26,"comedy"
"389",12,1,"Bert",1994,1994,30,7.2,877,"comedy"
"390",7,0,"Birdland",1994,0,60,6.9,14,"drama"
"391",7,0,"Blue Heaven",1992,0,30,6.6,33,"comedy"
"392",8,0,"Blue Skies",1994,0,30,7.6,18,"comedy"
