"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre","GenderMale","GenderFeMale"
"81",20,1,"She-Wolf of London",1990,1991,60,7.4,295,"comedy",2,2
"82",20,1,"Spender",1991,1993,50,7.8,203,"action",3,1
"83",7,0,"Sugar and Spice",1990,0,30,5.8,12,"comedy",0,4
"84",48,0,"Super Force",1990,0,30,7.4,291,"action",3,1
"85",72,1,"Swamp Thing",1990,1993,30,6.7,533,"sci-fi",4,1
"86",13,0,"Sydney",1990,0,30,7.8,40,"comedy",3,2
"87",13,0,"TECX",1990,0,50,7,19,"action",2,3
"88",66,1,"TaleSpin",1990,1991,30,7.6,10964,"action",4,1
"89",20,0,"They Came from Outer Space",1990,0,60,6.7,134,"comedy",4,0
"90",99,1,"Tiny Toon Adventures",1990,1995,23,7.6,9790,"adventure",4,1
"91",91,1,"Top Cops",1990,1994,60,7.3,44,"action",5,0
"92",34,1,"The Trials of Rosie O'Neill",1990,1992,60,8.2,69,"drama",1,3
"93",46,1,"True Colors",1990,1992,30,7.4,104,"comedy",2,2
"94",30,1,"Twin Peaks",1990,1991,47,8.8,143422,"crime",3,1
"95",18,1,"Uncle Buck",1990,1991,30,5.7,118,"comedy",2,2
"96",18,1,"Up the Garden Path",1990,1993,25,7.2,26,"comedy",3,2
"97",95,1,"The Upper Hand",1990,1996,25,6.6,324,"comedy",2,2
"98",14,1,"Vic Reeves Big Night Out",1990,1991,25,7.5,564,"comedy",4,1
"99",59,1,"Vrienden voor het leven",1990,1995,30,6.7,149,"comedy",3,2
"100",16,1,"WIOU",1990,1991,60,7.5,25,"drama",3,1
"101",47,1,"Waiting for God",1990,1994,30,7.8,1301,"comedy",3,2
"102",24,1,"What a Dummy",1990,1991,30,5,31,"comedy",3,1
"103",13,1,"The Wizard of Oz",1990,1991,30,6.7,111,"action",3,2
"104",12,0,"Working Girl",1990,0,30,6.9,102,"comedy",2,2
"105",13,0,"Working It Out",1990,0,30,8.1,8,"comedy",2,2
"106",13,0,"Yellowthread Street",1990,0,52,8.3,44,"action",4,1
"107",89,1,"Zorro",1990,1993,30,6.9,1188,"adventure",4,1
"108",12,1,"Dark Shadows",1991,1991,45,7.6,1522,"drama",2,2
"109",13,0,"Rôdosu-tô senki",1990,0,25,7.8,1985,"action",4,1
"110",8,0,"Miller & Mueller",1991,0,45,5.7,30,"action",3,2
"111",26,1,"Runaway Bay",1992,1993,26,8.3,35,"adventure",4,1
"112",56,1,"2point4 Children",1991,1999,40,7,645,"comedy",0,1
"113",13,1,"The Adventures of Mark & Brian",1991,1992,30,5.8,25,"comedy",2,0
"114",39,0,"The Adventures of Skippy",1992,0,65,6.5,68,"adventure",2,3
"115",52,1,"African Skies",1992,1994,30,6.9,28,"adventure",3,1
"116",9,0,"The Antagonists",1991,0,60,5.9,18,"drama",4,1
"117",35,1,"Baby Talk",1991,1992,30,4,134,"comedy",3,1
"118",26,1,"Back to the Future",1991,1993,23,6.5,1177,"adventure",4,0
"119",44,1,"Beyond Reality",1991,1993,30,7.8,93,"drama",2,3
"120",13,1,"Bony",1992,1992,60,7.8,12,"crime",4,1
"121",20,1,"Boys from the Bush",1991,1992,50,8.1,35,"comedy",3,1
"122",52,1,"The Brittas Empire",1991,1997,30,7.2,2038,"comedy",3,1
